,Original,Summary,Sentiment
11,mantaf.. tapi bisa lebih besar nggak limitnya✌️😅,mantaf.. tapi bisa lebih besar nggak limitnya✌️😅,1
12,Aplikasi mudah penggunaannya,Aplikasi mudah penggunaannya,1
13,Aku cinta marketplace Indonesia!,Aku cinta marketplace Indonesia!,1
14,Selalu ada voucher sangat mantaaap,Selalu ada voucher sangat mantaaap,1
15,"Harusnya 5, karena ada biaya layanan seribu rupiah dan duaribu rupiah jadi 3 cukup yah. Bagusnya sperti dulu gada penambahan biaya. Makin kesini makin ke aplikasi orange",Bagusnya sperti dulu gada penambahan biaya.,-1
16,Barang2nya lengkap dan memudahkan penjual dan pembeli langsung berinteraksi.,Barang2nya lengkap dan memudahkan penjual dan pembeli langsung berinteraksi.,1
17,Lancar aplikasinya,Lancar aplikasinya,1
18,Akhir2 ini kalau masuk kok selalu tidak ada internet,Akhir2 ini kalau masuk kok selalu tidak ada internet,-1
19,Cashback promo dan bebas ongkir. Harga baik dibandingkan yg lain. Searching produk terasa tdk dibatasi utk mengambil pembanding harga.,Harga baik dibandingkan yg lain.,1
20,Banyak metode bayarnya.,Banyak metode bayarnya.,1
21,"Dear Tokopedia Pas selesai di update malah ga bisa kebuka Memory nya udah di kosongin, di uninstall, terus di reinstall tetap ga bisa kebuka Tolong bantuannya","Dear Tokopedia Pas selesai di update malah ga bisa kebuka Memory nya udah di kosongin, di uninstall, terus di reinstall tetap ga bisa kebuka Tolong bantuannya",-1
22,Terima kasih telah memudahkan,Terima kasih telah memudahkan,1
23,"Browsing produk-produk di App rasanya slow sekali, padahal ini iPad Mini 5, masih belum bisa dibilang terlalu tua lah hardwarenya. Please update and make it better!

Saya sudah matikan fitur-fitur semacam shake-shake & otomatis video berjalan, namun tetap sama.","Saya sudah matikan fitur-fitur semacam shake-shake & otomatis video berjalan, namun tetap sama.",-1
24,Makin banyak free kngkir nya sy makin betah. Terutama pelayanan cs nya,Terutama pelayanan cs nya,1
25,Banyak Cashbacknya,Banyak Cashbacknya,1
26,Banget,Banget,1
27,"Aplikasinya mantap dan tanpa ada kendala, mudah2an barang yg dipesan jg cepat","Aplikasinya mantap dan tanpa ada kendala, mudah2an barang yg dipesan jg cepat",1
28,Secara umum sudah baik namun pada ios kadang button cartnya susah diklik,Secara umum sudah baik namun pada ios kadang button cartnya susah diklik,-1
29,Tokped tidak ramah bagi pembeli. Regulasi untuk pengembalian ramah menyulitkan pembeli. Komplain barang jg tidak digubris.,Regulasi untuk pengembalian ramah menyulitkan pembeli.,-1
30,Ramein guys. Aplikasi karya anak bangsa. Jangan mau dijajah sama orang luar cuma diiming-imingi promo.,Aplikasi karya anak bangsa.,1
31,Pokonya bintang lah yg berbicara,Pokonya bintang lah yg berbicara,0
32,Memudahkan setiap transaksi,Memudahkan setiap transaksi,1
33,UwU nih bagus banget,UwU nih bagus banget,1
34,"Aplikasi yang sangat membantu dan mencerminkan kemajuan teknologi yang sangat baik untuk membantu memudahkan aktivitas masyarakat masyarakat generasi millenial yang ingin semuanya serba instant, mantabb","Aplikasi yang sangat membantu dan mencerminkan kemajuan teknologi yang sangat baik untuk membantu memudahkan aktivitas masyarakat masyarakat generasi millenial yang ingin semuanya serba instant, mantabb",1
35,Mudah diakses,Mudah diakses,1
36,banyak cashback,banyak cashback,1
37,Lancar dan praktis aplikasi nya,Lancar dan praktis aplikasi nya,1
38,Murah dan Meriah,Murah dan Meriah,1
39,"Mantab sangat membantu, online shop selalu paling di pakai diantara aplikasi yg lain","Mantab sangat membantu, online shop selalu paling di pakai diantara aplikasi yg lain",1
40,Isi emoney 100k pembayaran berhasil tapi gak terupdate,Isi emoney 100k pembayaran berhasil tapi gak terupdate,-1
41,Banyak diskonnya dongg buat belanja elektronik membantu sekali udah beberapa kali beli barang pake diskon atau Cashback di tokped 😍👌🏻,Banyak diskonnya dongg buat belanja elektronik membantu sekali udah beberapa kali beli barang pake diskon atau Cashback di tokped 😍👌🏻,1
42,Alhamdulillah mantap,Alhamdulillah mantap,1
43,"Aplikasi andalan utk bayar tagihan, pulsa & beli barang impian","Aplikasi andalan utk bayar tagihan, pulsa & beli barang impian",1
44,Sip. Semua barang ada.,Semua barang ada.,1
45,Mudah transaksi ap pun yg kami butuh kan… 🙏🏻🙏🏻🙏🏻,Mudah transaksi ap pun yg kami butuh kan… 🙏🏻🙏🏻🙏🏻,1
46,Aplikasi di Hp lumayan bagus. Tapi di computer Tokped susah sekali. Sering error di Apple,Sering error di Apple,-1
47,Sll Puas bgt,Sll Puas bgt,1
48,Bawang diterima sesuai denganpermintaan ...terimakasih.,Bawang diterima sesuai denganpermintaan ...terimakasih.,1
49,Tolong di perbanyak merchant yg kualitas bagus,Tolong di perbanyak merchant yg kualitas bagus,1
50,mantul,mantul,1
51,"dah sedikit paham cara pakainya, cuma perlu sering dilatih","dah sedikit paham cara pakainya, cuma perlu sering dilatih",1
52,"Selalu Banyak-Banyak Promo nya biar yg lain bengong.hehehehehehe
Salam Sukses Selalu TOPED","Selalu Banyak-Banyak Promo nya biar yg lain bengong.hehehehehehe
Salam Sukses Selalu TOPED",1
53,Sering-sering kasi kupon untuk top up dan tagihan yah,Sering-sering kasi kupon untuk top up dan tagihan yah,1
54,Sangat membantu saat waktu terdesak,Sangat membantu saat waktu terdesak,1
55,Biaya Rp 500 per transaksi saja lebih dari cukup,Biaya Rp 500 per transaksi saja lebih dari cukup,1
56,Belum pernah mengecewakan,Belum pernah mengecewakan,1
57,Brand online shop ter baik dan ter banyak hadiah cash back,Brand online shop ter baik dan ter banyak hadiah cash back,1
58,Mudah! Tdk perlu ke ATM,Tdk perlu ke ATM,1
59,Puas banget,Puas banget,1
60,Sampai saat ini good,Sampai saat ini good,1
61,banyak diskon & bebas ongkir tambah konek dgn gopay/pay later makin mantab,banyak diskon & bebas ongkir tambah konek dgn gopay/pay later makin mantab,1
62,Puas,Puas,1
63,Sampai sejauh ini nyamanlah pake Toped👍 Hampir ga ada masalah! TQ,TQ,1
64,Lumayan puas dgn tokped tp semakin kesini banyak biaya tambahan,Lumayan puas dgn tokped tp semakin kesini banyak biaya tambahan,1
65,"Barang yg dijual bagus,dan terpecaya","Barang yg dijual bagus,dan terpecaya",1
66,Sesuai dengan harga sip barangnya,Sesuai dengan harga sip barangnya,1
67,Barang bagus dan cepat sampai,Barang bagus dan cepat sampai,1
68,Paling nyaman belanja di tokopedia bisa dapet gratis ongkir dan sekarang pilihnya salah satu aja cashback atau gratis ongkir,Paling nyaman belanja di tokopedia bisa dapet gratis ongkir dan sekarang pilihnya salah satu aja cashback atau gratis ongkir,1
69,Segalanya ada di.... toko pe dia *bacanya jangan sambil nyanyi ya*,Segalanya ada di.... toko pe dia *bacanya jangan sambil nyanyi ya*,1
70,Masih ada sisa 4 gratis ongkir tp stiap check out ga bs dgunakan dgn alasan kendala pd gratis ongkir.,Masih ada sisa 4 gratis ongkir tp stiap check out ga bs dgunakan dgn alasan kendala pd gratis ongkir.,-1
71,Mudah bertransaksi dan aman.. banyak promonya..,Mudah bertransaksi dan aman.. banyak promonya..,1
72,Mantab,Mantab,1
73,Pembayar bagus lancar,Pembayar bagus lancar,1
74,Mantaps,Mantaps,1
75,Mantap cepat,Mantap cepat,1
76,mantap bnyk cashback,mantap bnyk cashback,1
77,Semua ada di jempol anda,Semua ada di jempol anda,1
78,Tokopedia membantu usaha online saya🙏 semoga semakin mempermudah para pelaku UMKM seperti saya😍,Tokopedia membantu usaha online saya🙏 semoga semakin mempermudah para pelaku UMKM seperti saya😍,1
79,Murah apik,Murah apik,1
80,Simpel dan cepat 👍 Cuma saat memasukan alamat baru agak repot karena ada fitur lokasi sekarang agak susah input alamat secara manual dan lokasi yg terintegrasi dengan pin di google map (Jika pake aplikasi),Simpel dan cepat 👍 Cuma saat memasukan alamat baru agak repot karena ada fitur lokasi sekarang agak susah input alamat secara manual dan lokasi yg terintegrasi dengan pin di google map (Jika pake aplikasi),0
81,Kalau barang yang sudah terjual atau barang yang tidak stocknya bisa dihapus dari search,Kalau barang yang sudah terjual atau barang yang tidak stocknya bisa dihapus dari search,1
82,Bagus sejauh ini belum ada kendala pakai tokopedia,Bagus sejauh ini belum ada kendala pakai tokopedia,1
83,Aplikasi ini sangat membantu untuk langsung komunikasi ke penjual nya...,Aplikasi ini sangat membantu untuk langsung komunikasi ke penjual nya...,1
84,Selalu belanja dan banyak puasnya,Selalu belanja dan banyak puasnya,1
85,Banyak promo yang menarik,Banyak promo yang menarik,1
86,Ganti pengirim,Ganti pengirim,0
87,Mudah prosesnya dan tokonya bisa dipercaya,Mudah prosesnya dan tokonya bisa dipercaya,1
88,Smoga tetap jaya selamanya,Smoga tetap jaya selamanya,1
89,"Terpercaya, mudah, cepat dan gampang.","Terpercaya, mudah, cepat dan gampang.",1
90,"walau tidak ada promo yang cendrung menipu, tokopedia memberikan harga pasti tanpa menipu seperti aplikasi yang lain. aplikasi lain sering adakan diskon, tidak tahunya harga setelah diskon sama saja dengan harga di tokopedia tanpa diskon. semoga tokopedia makin jaya.","aplikasi lain sering adakan diskon, tidak tahunya harga setelah diskon sama saja dengan harga di tokopedia tanpa diskon.",1
91,Luar biasa murah,Luar biasa murah,1
92,"semua terasa mudah ,yg jauh terasa dekat","semua terasa mudah ,yg jauh terasa dekat",1
93,Artinya bagus,Artinya bagus,1
94,Aplikasi bagus,Aplikasi bagus,1
95,Bayar toped pakai gopay gak pakai ribet,Bayar toped pakai gopay gak pakai ribet,1
96,👌👍👍👍 Gratis ongkirnya ditambah dong,👌👍👍👍 Gratis ongkirnya ditambah dong,1
97,Barang sesuai deskripsi dan pengirimannya cepat,Barang sesuai deskripsi dan pengirimannya cepat,1
98,Belanja online terpecaya ya Tokopedia,Belanja online terpecaya ya Tokopedia,1
99,Algoritma pencarian produk perlu diimprove lagi,Algoritma pencarian produk perlu diimprove lagi,-1
100,kembali,kembali,0
101,sudah beli beberapa kali dan selalu memuaskan trusted!,sudah beli beberapa kali dan selalu memuaskan trusted!,1
102,Semoga barang yg dikirim kualitas bagus (original philips) dan dibungkus tebal agar tidak cacat,Semoga barang yg dikirim kualitas bagus (original philips) dan dibungkus tebal agar tidak cacat,1
103,Muantab..👍,Muantab..👍,1
104,"Selain buat belanja, transaksi di tokped jg biasa aku gunain untuk bayar Cicilan. Fiturnya mudah, promonya juga jelas banget, entah itu Gratis ongkir ataupun cashback semuanya Real sesuai deskripsi. Gacuma heboh di iklan tapi ternyata waktu dipake banyak syaratnya, pokonya transaksi di tokped nyaman dan fun bgt!!⭐️⭐️⭐️⭐️⭐️","Fiturnya mudah, promonya juga jelas banget, entah itu Gratis ongkir ataupun cashback semuanya Real sesuai deskripsi.",1
105,Mudah & nyaman,Mudah & nyaman,1
106,Suka banget transaksi di tokped,Suka banget transaksi di tokped,1
107,Mantabbbb,Mantabbbb,1
108,Gak ada yang lebih bagus dari Tokopedia pokoknya ! 🙌,🙌,1
109,Ok lah,Ok lah,1
110,Aplikasi sangat berguna buat mencari barang kesayangan,Aplikasi sangat berguna buat mencari barang kesayangan,1
111,Aplikasinya bagus. Bikin belanja cukup dari gadget saja,Bikin belanja cukup dari gadget saja,1
112,Kentul keren betul,Kentul keren betul,1
113,Mantap. Pembeli jelas belajar dari pengalaman pembelibsebelumnua.tranksaksi aman,Pembeli jelas belajar dari pengalaman pembelibsebelumnua.tranksaksi aman,1
114,ngga perlu pakai waktu lama untuk bertransaksi..,ngga perlu pakai waktu lama untuk bertransaksi..,1
115,Udah gitu aja,Udah gitu aja,0
116,Puas🙌,Puas🙌,1
117,Mudah sekali penggunaan aplikasinya,Mudah sekali penggunaan aplikasinya,1
118,pencarian barangnya banyak pilihan,pencarian barangnya banyak pilihan,1
119,"Beberap Seller sering batal jual karena barang tidak ada, padahal chat sebelum beli bilangnya teraedia","Beberap Seller sering batal jual karena barang tidak ada, padahal chat sebelum beli bilangnya teraedia",-1
120,Sangat membantu sekali dan aplikasinya sangat user friendly,Sangat membantu sekali dan aplikasinya sangat user friendly,1
121,Gak ribet penuh dengan segala informasi.,Gak ribet penuh dengan segala informasi.,1
122,"Dalam hitungan 1-3 detik udah nyampe pulsanya, Alhamdulilah tokped luar biasa","Dalam hitungan 1-3 detik udah nyampe pulsanya, Alhamdulilah tokped luar biasa",1
123,"Mau belanja online atau pun bayar tagihan atau cuma buat compare harga, selalu handal, bukan handal jepit ya","Mau belanja online atau pun bayar tagihan atau cuma buat compare harga, selalu handal, bukan handal jepit ya",1
124,Pembayaran pakai OVO rada ribet tapi akhirnya bisa. Krn OVO tidak termasuk pembayaran pilihan.,Krn OVO tidak termasuk pembayaran pilihan.,0
125,suka banyak diskon wkwk,suka banyak diskon wkwk,1
126,"Pembayaran Angsuran Kredit motor lebih mudah, tidak perlu antri2 lg. Trimksh Tokopedia",Trimksh Tokopedia,1
127,Slalu puas belanja di sini,Slalu puas belanja di sini,1
128,Sejauh ini toped adalah online shopping terbaik bagi saya,Sejauh ini toped adalah online shopping terbaik bagi saya,1
129,Mudah pakainya dan bisa mixed pembayaran...👍🏼,Mudah pakainya dan bisa mixed pembayaran...👍🏼,1
130,"Seamless transaction, cepet, reliable. Mohon awasi juga peredaran barang palsu/KW/counterfeit.",Mohon awasi juga peredaran barang palsu/KW/counterfeit.,1
131,Gak perlu pusing nyari2 belanjaan dan keluar rumah..langsung di antar ke depan pintu dalam waktu beberapa jam..transaksi mudah hanya lewat transfer mobile banking..mantap 👍,Gak perlu pusing nyari2 belanjaan dan keluar rumah..langsung di antar ke depan pintu dalam waktu beberapa jam..transaksi mudah hanya lewat transfer mobile banking..mantap 👍,1
132,Tolong terapkan KPI untuk personil tokopedia care berbasis time saat menjawab pertanyaan pelanggan agar tidak suka-suka oknum tuk menjawab atau tidak. Sukses terus Tokopedia 👍👍🙏,Sukses terus Tokopedia 👍👍🙏,1
133,luar biasa,luar biasa,1
134,Sangat membantu bisnisku sbg penjual. sangat membantu sbg pembeli dan tolong makin dibanyakin lagi promo ke gopoints nya,sangat membantu sbg pembeli dan tolong makin dibanyakin lagi promo ke gopoints nya,1
135,Bnyak promo…jrng dipake bonus menumpuk,Bnyak promo…jrng dipake bonus menumpuk,1
136,Ga ada yg ngalahin deh klo jual beli,Ga ada yg ngalahin deh klo jual beli,1
137,"Harga Produk sangat bersaing (termasuk salah Satu Aplikasi Online yg termurah), Variasi Barang sangat banyak dan Beragam serta Fitur Pencarian sangat mudah, Banyak Program Diskon dan Voucher setiap Bulannya, Fasilitas Pembayaran juga beragam dan bisa memakai Dana yg didapat (Ovocash, Ovopoint, Gopay, Gocoin)..., dan Fasilitas Pengiriman bermacam-macam !... Ada Free Ongkos Kirim juga... Pokoknya merupakan Program Toko Online paling Favorit saat ini !!!... 👍🏻👏🏻👏🏻⭐️⭐️⭐️⭐️⭐️",Ada Free Ongkos Kirim juga... Pokoknya merupakan Program Toko Online paling Favorit saat ini !!!...,1
138,Terbaik,Terbaik,1
139,"Niat hati pengen dapet best price beli HP untuk hafiah natal eh dapet voucher cashback gopay coin 12.12, tapi sayang itu tipu tipu, setelah selesai transaksi berhasil, cashback tidak masuk, penipuan, cs kurang responsif dan ga ada jalan keluar. Saya daftar pake akun saya sendiri sendang saya dituduh akun saya sama dengan kakak saya. Woi beda KTP woiiii. Beda HP pulaa!!!! Beda KSK juga!!!! Beda Rumah Pulaaaaa!!!!",Saya daftar pake akun saya sendiri sendang saya dituduh akun saya sama dengan kakak saya.,-1
140,"Ga jelas, bikin emosi, baru pertama belanja di tokped, dibilang pake promo buat dua akun, dibilang manipulasi, padahal genting bgt pesenannya. Kecewa polll ga akan lagi lagi pesen di tokped udh bener di oren aja. Malem malem bikin darting, mana csnya lemot, udh chat jauh katanya mau dicek malah ngulang lagi ke format awal wes mboh","Malem malem bikin darting, mana csnya lemot, udh chat jauh katanya mau dicek malah ngulang lagi ke format awal wes mboh",-1
141,"Mudah cepet.,,membantu penghasilan tambahan","Mudah cepet.,,membantu penghasilan tambahan",1
142,Ok Mantab,Ok Mantab,1
143,Mantap. Customer service selalu memberi yg terbaik dibanding online yg lain,Customer service selalu memberi yg terbaik dibanding online yg lain,1
144,Nu sae na ti pusat,Nu sae na ti pusat,-1
145,Sangat membantu,Sangat membantu,1
146,banyak cashbacknya,banyak cashbacknya,1
147,"Lancar, sukses, dan selalu aman","Lancar, sukses, dan selalu aman",1
148,Hebat,Hebat,1
149,Puas banget dengan layanan tokopedia,Puas banget dengan layanan tokopedia,1
150,"Pajaknya naek terus, turunin pajaknya donk buat seller ama pembeli.. biar lebih nyaman..","Pajaknya naek terus, turunin pajaknya donk buat seller ama pembeli.. biar lebih nyaman..",-1
151,Murah dan flexibel,Murah dan flexibel,1
152,Tokopedia makin Mantap,Tokopedia makin Mantap,1
153,mantap banyak promo,mantap banyak promo,1
154,Praktis namun kadangkala utk up date bbrp kali susah,Praktis namun kadangkala utk up date bbrp kali susah,-1
155,Puas sekali dengan layanan klaim garansi…musah dan cepat.,Puas sekali dengan layanan klaim garansi…musah dan cepat.,1
156,terus ditingkatkan ok brother,terus ditingkatkan ok brother,1
157,Alhamdulillah nambah penghasilan terimakasih tokopedia,Alhamdulillah nambah penghasilan terimakasih tokopedia,1
158,Selalu jadi aplikasi utama,Selalu jadi aplikasi utama,1
159,Indonesia mesti harus lebih maju terus,Indonesia mesti harus lebih maju terus,1
160,Pembayaran di tokped super sat set!,Pembayaran di tokped super sat set!,1
161,Makin mahal aja sekarang biaya tambahan nya setelah gabung gojek,Makin mahal aja sekarang biaya tambahan nya setelah gabung gojek,-1
162,Toko Pedia emang top!,Toko Pedia emang top!,1
163,Terima kasih,Terima kasih,1
164,Yuksss belanja di Topedw,Yuksss belanja di Topedw,1
165,Merasa nyaman menggunakan fitur bayar BPJS lwt Tokopedia. Terima kasih.,Terima kasih.,1
166,Tokped ini kenapa diskon ongkirnya jadi pelit begini huhu :(,Tokped ini kenapa diskon ongkirnya jadi pelit begini huhu :(,-1
167,Aplikasi stuck di iPhone 6S plus saat masuk. iOS 13.1.3. Tolong di update. Thanks,iOS 13.1.3.,-1
168,Mudah pemakaian aplikasi,Mudah pemakaian aplikasi,1
169,mantap total,mantap total,1
170,makasih toko pedia,makasih toko pedia,1
171,"Puas pake gopay, mudah dan cepat. Gak pake repot. Pokoknya mantab pake gopay",Pokoknya mantab pake gopay,1
172,Baik sekali,Baik sekali,1
173,Pokoknya tokopedia paling kantep dibandi market place lainnya,Pokoknya tokopedia paling kantep dibandi market place lainnya,1
174,Sudut meja,Sudut meja,0
175,Suka banget belanja ditokopedia Terpercayaaa,Suka banget belanja ditokopedia Terpercayaaa,1
176,Agar semua belanja free ongkir tanpa syarat,Agar semua belanja free ongkir tanpa syarat,-1
177,Rencana mau beli babi ngepet malah beli laptop ya udah deh,Rencana mau beli babi ngepet malah beli laptop ya udah deh,1
178,Tokped adalah online store dengan ui simple dan mudah digunakan.,Tokped adalah online store dengan ui simple dan mudah digunakan.,1
179,mantab,mantab,1
180,Terlalu banyak biaya,Terlalu banyak biaya,-1
181,aplikasi yg simple dan cepat akurat untuk berbelanja,aplikasi yg simple dan cepat akurat untuk berbelanja,1
182,Manteb manteb,Manteb manteb,1
183,"Tokopedia sekarang bukan yang dulu lagi, sejak ada kurir rekomendasi pengiriman semakin lama & ngawur, yang dulu antar jawa 2 hari max 3 hari sekarang sering lebih dari 4 hari, semakin gak masuk akal. Apalagi kurir anteraja yang jelas jelas busuk dari dulu masih dipakai",Apalagi kurir anteraja yang jelas jelas busuk dari dulu masih dipakai,-1
184,Sayang TokPed masih sering lambat loading semoga bisa di perbaiki yan,Sayang TokPed masih sering lambat loading semoga bisa di perbaiki yan,-1
185,Dari semua online marketplace.. tokped yg paling terpercaya..Dari semua paling nyaman dan merasa secure belanja di Tokped..,Dari semua online marketplace.. tokped yg paling terpercaya..Dari semua paling nyaman dan merasa secure belanja di Tokped..,1
186,Mudah mudahan amanah trs,Mudah mudahan amanah trs,1
187,Mantap betul,Mantap betul,1
188,Kl ada masalah Tokped bisa jadi penengah antara seller dan Butet ga kaya toko oren,Kl ada masalah Tokped bisa jadi penengah antara seller dan Butet ga kaya toko oren,1
189,Sangat memudahkan customer untuk memenuhi kebutuhan apapun itu.. Terima kasih!,Sangat memudahkan customer untuk memenuhi kebutuhan apapun itu.. Terima kasih!,1
190,Proses menjadi lebih cepat dan mudah,Proses menjadi lebih cepat dan mudah,1
191,Mantap bro,Mantap bro,1
192,Manteb,Manteb,1
193,lebih simple dalam berbelanja,lebih simple dalam berbelanja,1
194,Bisa dipercaya menjaga pembayaran kita Uang kembali kalau penjual tidak mengirim barangnya.. Terima kasih ya tokopedia Sukses tambah sukses..,Bisa dipercaya menjaga pembayaran kita Uang kembali kalau penjual tidak mengirim barangnya.. Terima kasih ya tokopedia Sukses tambah sukses..,1
195,Tokopedia terbaik di Indonesia! Follow Now Stationery untuk keperluan alat tulis kantor dan kebutuhan sekolah putra putri anda.,Follow Now Stationery untuk keperluan alat tulis kantor dan kebutuhan sekolah putra putri anda.,1
196,"Sangat lemot, isi saldo e tol kadang hang padahal lagi darurat. Lalu chat kalau ga ada sinyal ga kekirim , harusnya otomatis terkirim begitu ada koneksi sinyal, sering hang halaman toped, parah dehhh","Lalu chat kalau ga ada sinyal ga kekirim , harusnya otomatis terkirim begitu ada koneksi sinyal, sering hang halaman toped, parah dehhh",-1
197,Kurang promo,Kurang promo,-1
198,App terbaik,App terbaik,1
199,lapak terpercaya,lapak terpercaya,1
200,Sangat membantu dlm berbagai hal,Sangat membantu dlm berbagai hal,1
201,"Sekarang kalo pakai voucher cashback, hak bisa free ongkir. Sayang sekali",Sayang sekali,-1
202,"Semua transksaksi berjalan lancar, aman dan sangat membantu pengguna","Semua transksaksi berjalan lancar, aman dan sangat membantu pengguna",1
203,Jual beli jd gampang,Jual beli jd gampang,1
204,"Semakin baik, semoga tokped semakin baik untuk customer dan toko","Semakin baik, semoga tokped semakin baik untuk customer dan toko",1
205,Ongkirnya lebih hemat,Ongkirnya lebih hemat,1
206,Pelayanan mudah dan cepat .. Pokok ee Mantap,Pelayanan mudah dan cepat .. Pokok ee Mantap,1
207,"Penggunaan mudah, opsi pembayaran lengkap, transaksi aman. Kurang apalagi coba",Kurang apalagi coba,1
208,Aplikasinya sangat memudahkan.,Aplikasinya sangat memudahkan.,1
209,Aplikasi nya mudah digunakan,Aplikasi nya mudah digunakan,1
210,Sangat mudah benar2 mudah,Sangat mudah benar2 mudah,1
211,Proses Mudah dan cepat,Proses Mudah dan cepat,1
212,sudah ga recomended,sudah ga recomended,-1
213,Selalu beli pulsa dan pembayaran lewat tokped dan selalu dapet cashback. Thanks,Thanks,1
214,"Aplikasi yang sangat membantu sekali.. semakin mudah untuk pengaplikasiannya,, 👍🏻👍🏻👍🏻👍🏻","Aplikasi yang sangat membantu sekali.. semakin mudah untuk pengaplikasiannya,, 👍🏻👍🏻👍🏻👍🏻",1
215,"Sangat puas dg layanan tokopedia , sangat membantu buat yg selalu tinggal di rumah","Sangat puas dg layanan tokopedia , sangat membantu buat yg selalu tinggal di rumah",1
216,mantap banget ye kan,mantap banget ye kan,1
217,Titik lokasi (pada menu alamat) meleset dari alamat sebenarnya. Driver yg mengirim menggunakan titik lokasi jadi kebingungan.,Driver yg mengirim menggunakan titik lokasi jadi kebingungan.,-1
218,Semoga Tokped selalu menjaga kualitasnya,Semoga Tokped selalu menjaga kualitasnya,1
219,Sangat membantu dan simple,Sangat membantu dan simple,1
220,Layoutnya jgn berlebihan,Layoutnya jgn berlebihan,-1
221,banyak barang dan lengkap,banyak barang dan lengkap,1
222,"Good, sangat membantu, promonya berkurang skrg, tambahin lg promonya, ngandelin promo kecil kecilan 😁","Good, sangat membantu, promonya berkurang skrg, tambahin lg promonya, ngandelin promo kecil kecilan 😁",-1
223,olshop yg saya pakai sejak awal belanja online hingga kini.. tidak pernah mengecewakan,olshop yg saya pakai sejak awal belanja online hingga kini.. tidak pernah mengecewakan,1
224,Membantu bangat buat belanja apa saja. Sangat rekomendasi buat pengguna baru 👍👍👍,Sangat rekomendasi buat pengguna baru 👍👍👍,1
225,Aplikasi yang sangat membantu dalam jual beli. Top,Top,1
226,Aplikasi yang bermanfaat dan oke.,Aplikasi yang bermanfaat dan oke.,1
227,"Apapun yg mau dibeli semua bisa di tokped...gak perlu ribet kemana mana, tinggal klik2 aja dpt apa yg dicari...bayar apapun juga melalui tokped.. Aplikasi gampang buat user... Makanya saya sebut Juara belanja Online","Apapun yg mau dibeli semua bisa di tokped...gak perlu ribet kemana mana, tinggal klik2 aja dpt apa yg dicari...bayar apapun juga melalui tokped.. Aplikasi gampang buat user... Makanya saya sebut Juara belanja Online",1
