,Original,Summary
133,Aplikasi tokped bermasalah  instal ulang  pembayaran tokopedia card  instalment transaksi recordnya hilang  seakan blm lakukan payment coba hub CFs ga  coba handling uang loh,Aplikasi tokped bermasalah  instal ulang  pembayaran tokopedia card  instalment transaksi recordnya hilang  seakan blm lakukan payment coba hub CFs ga  coba handling uang loh
134,Membantu,Membantu
135,Gila sih biaya jasa aplikasi 2ribu  pembeli ya kabur toko biru  LAZ   voucher nya gratis ongkir pastinya ,Gila sih biaya jasa aplikasi 2ribu  pembeli ya kabur toko biru  LAZ   voucher nya gratis ongkir pastinya 
136,Kukira bagus  buruk aja  transaksi biaya layanan biaya aplikasi  Bye bye tokped,Bye bye tokped
137,Min kesulitan meng update Tokopedia ,Min kesulitan meng update Tokopedia 
138,Layanan lumayan memuaskan,Layanan lumayan memuaskan
139,membantu,membantu
140,Tokopedia the best  daganganya laku keras menit   tolong terapkan  voucher diskon toko  voucher cashback  voucher diskon Tokopedia free ongkir  deh Indonesia cek out Tokopedia ,Tokopedia the best  daganganya laku keras menit   tolong terapkan  voucher diskon toko  voucher cashback  voucher diskon Tokopedia free ongkir  deh Indonesia cek out Tokopedia 
141,Pelayanan lumayan bagus cuman ongkirnya  trus udah jarang gratis ongkir udah langganan aplikasi,Pelayanan lumayan bagus cuman ongkirnya  trus udah jarang gratis ongkir udah langganan aplikasi
142,penilaian tukar hp memurahkan hp  rugi hp harga 3juta keatas pemakaian 1 bayar 900k lawak  mulus gak lecet,penilaian tukar hp memurahkan hp  rugi hp harga 3juta keatas pemakaian 1 bayar 900k lawak  mulus gak lecet
143,membantu,membantu
144,oke,oke
145,puas,puas
146,nice,nice
147,tampilan bagus disayangkan fitur efisien seringan toko orange aplikasi berjalan,tampilan bagus disayangkan fitur efisien seringan toko orange aplikasi berjalan
148,Kecewa  Pengiriman ,Pengiriman 
149,Kendala yg menemukan solusi chat gak bales  komplain terkesan abaikan ,Kendala yg menemukan solusi chat gak bales  komplain terkesan abaikan 
150,bagus,bagus
151,update udah update force close trs mnta update  tuh,tuh
152,Mantap jiwa,Mantap jiwa
153,Konfirmasi pesanan lambat,Konfirmasi pesanan lambat
154,Parah banget  Ngasih embel embel kupon diskon  pas checkout barang  pake kupon diskon  udah bayar  eehhh batalin sistem  maksud nya  Udh kaya gitu  niat ga si kasih promo diskon  udah ongkir nya mahal bnget  ga kaya Shopeetiktok  gratisan nya  ga PHP  Parah banget sumpah ,Parah banget  Ngasih embel embel kupon diskon  pas checkout barang  pake kupon diskon  udah bayar  eehhh batalin sistem  maksud nya  Udh kaya gitu  niat ga si kasih promo diskon  udah ongkir nya mahal bnget  ga kaya Shopeetiktok  gratisan nya  ga PHP  Parah banget sumpah 
155,Mantap,Mantap
156,Not bad,Not bad
157,ok,ok
158,Ok,Ok
159,App buruk belanja gampang persulit  Ganti no hp aja nunggu ,App buruk belanja gampang persulit  Ganti no hp aja nunggu 
160,membantu,membantu
161,Update  apk no 1 indonesia sewa aplikasi nya transaksi  Penjual potong biaya layanan kategori belom fitur berlanggan  Pembeli kenakan biaya layanan Sewa apk  Kanan kiri masuk ekoo  gede sewa apknya pembeli min    motong hasil penjualan seller    Bisa2 sepi pembeli Toped  Ayo kaji ulang biaya sewa apkmu  keluhan tuh  Pertahankan performa toped yg bagus  yg lho  ,Pertahankan performa toped yg bagus  yg lho 
162,Update ,Update 
163,MEMPERSULIT TRANSAKSI ,MEMPERSULIT TRANSAKSI 
164,Biaya jasa apk transaksi belanja Rp2000  biaya admin top up Rp2000  ,Biaya jasa apk transaksi belanja Rp2000  biaya admin top up Rp2000  
165,,
166,Bagus,Bagus
167,suka banget tokopedia,suka banget tokopedia
168,cepat,cepat
169,mantap,mantap
170,buka langusung gwratis,buka langusung gwratis
171,Sy member platinum  Biaya aplikasi 2rb kebijakan yg menurun  salahkan pelanggan toped yg perlahan2 beralih aplikasi sebelah  Coba pikir ulang jaman persaingan  Trm kasih,Trm kasih
172,belanja Tokopedia  kalo kendala ga tanggungjawab  Penjual yg ga amanah ,Penjual yg ga amanah 
173,Buset banget biaya nya pantes aja kalah saing oren item,Buset banget biaya nya pantes aja kalah saing oren item
174,No comments,No comments
175,Sya rel shimano orsinil jepang second harganya,Sya rel shimano orsinil jepang second harganya
176,Pelapak sombong sombong  gak Informasi dgn,Pelapak sombong sombong  gak Informasi dgn
177,kesini ko tokopedia ga promo ya pengguna beda aplikasi si oren ngadain promo pengguna cuman rp1  tokopedia  Pengurusnya kmna ya  Coba deh belajar mensejahterakan masyarakatnya berkah  sayang masyarakatnya  kesini keliatan amuradul,Coba deh belajar mensejahterakan masyarakatnya berkah  sayang masyarakatnya  kesini keliatan amuradul
178,PENCURIAN DATA     ,
179,Loading dipembayaran gagal pembelian ,Loading dipembayaran gagal pembelian 
180,update susah,update susah
181,Kebanyakan biaya tambahan    aplikasi taiiii,Kebanyakan biaya tambahan    aplikasi taiiii
182,Few hours zAw ,Few hours zAw 
183,Biaya layanan iya jd 2000 ,Biaya layanan iya jd 2000 
184,Update  paksa aplikasi dihapus ,Update  paksa aplikasi dihapus 
185,Penjual responnya  pembeli nyaman ,Penjual responnya  pembeli nyaman 
186,Sulit update,Sulit update
187,membantu,membantu
188,Bagus  sdh terbiasa dgn interface aplikasinya  mengalami kegagalan pembaharuan ,Bagus  sdh terbiasa dgn interface aplikasinya  mengalami kegagalan pembaharuan 
189,Tokopedia nya care toko toko pengiriman  yg dirugikan konsumen  Andelannya pengembalian dana  Yg dikembalikan harga barang  Ongkir biaya layanan kmn,Ongkir biaya layanan kmn
190,Update gak,Update gak
191,sampah layanan Customer service  tanggapan resolusi  banding butuh Tokopedia slow respon  kasihan seller buyer rejeki nya terhenti gara2 kelakuan CS nya  biaya potongan power merchant ugal2an barang elektronik  edan ,kasihan seller buyer rejeki nya terhenti gara2 kelakuan CS nya 
192,hp ga diupdate,hp ga diupdate
193,Gratis ongkir aneh tambahan jasa2 Cape deh pinda k toko sebelah,Gratis ongkir aneh tambahan jasa2 Cape deh pinda k toko sebelah
194,toko pedia emang mantap,toko pedia emang mantap
195,bener bener Tokopedia mempermudah belanja online,bener bener Tokopedia mempermudah belanja online
196,Beli barang toko Tokopedia pakek bayar Indomaret pesan barangnya konfirmasi uangnya tarik rekening Bank Jatim masuk rekening 500k ,Beli barang toko Tokopedia pakek bayar Indomaret pesan barangnya konfirmasi uangnya tarik rekening Bank Jatim masuk rekening 500k 
197,ok,ok
198,bagus,bagus
199,updatenya gagal trus,updatenya gagal trus
200,Tokopedia josss  mantaps,Tokopedia josss  mantaps
201,Yo Yo Yo   ゝ   ,Yo Yo Yo   ゝ   
202,update,update
203,,
204,pake tokopedia udah mengecewakan  cs robot  selesai  ketipu ongkir berbayar sameday next day  aktual sampe ttep kaya regular  penipuan kelas kakap,pake tokopedia udah mengecewakan  cs robot  selesai  ketipu ongkir berbayar sameday next day  aktual sampe ttep kaya regular  penipuan kelas kakap
205,aneh konyol aplikasi update kualitas aplikasi perubahan  Pemodohan   ,Pemodohan  
206,Payah g cod  pdhl beli hp tokped cod an,Payah g cod  pdhl beli hp tokped cod an
207,Benerin updatenya  app gak buka  update gagal  kasihan jualan gak selesai ,Benerin updatenya  app gak buka  update gagal  kasihan jualan gak selesai 
208,membantu,membantu
209,rekom full,rekom full
210,Sombong bet Tokopedia beda ma shoppe install apk lucky patcher aja suruh unins install mod menu ml suruh uninstall dah gitu suruh update maksa ,Sombong bet Tokopedia beda ma shoppe install apk lucky patcher aja suruh unins install mod menu ml suruh uninstall dah gitu suruh update maksa 
211,Mantappp Tokopedia blanja coin promonya diadakan pelanggan biar betah  Utk aplikasinya sdh mantappp kurir wahana kadang2 pemberitahuan sdh dimana  sdh bagus pertahankan Sukses Kedepan,Mantappp Tokopedia blanja coin promonya diadakan pelanggan biar betah  Utk aplikasinya sdh mantappp kurir wahana kadang2 pemberitahuan sdh dimana  sdh bagus pertahankan Sukses Kedepan
212,apk belanja online terbaik yg pakai,apk belanja online terbaik yg pakai
213,friendly user banget ,friendly user banget 
214,Tolong riwayat pesanan udah dihapus  Tujuan beli online ya biar detail riwayat pesanan udah  males pake tokped kalo gitu ,males pake tokped kalo gitu 
215,pake 1 vocer ,pake 1 vocer 
216,mantap,mantap
217,Tinggal Ampas nya  biaya Fixs skrng Marketplace SAMPAH    ,
218,Pas belanja tulisannya gratis ongkir 0 rupiah belanja 50rb  Uda semanget masukin keranjang  kepotong 20rb  Ealahhh salah ,Pas belanja tulisannya gratis ongkir 0 rupiah belanja 50rb  Uda semanget masukin keranjang  kepotong 20rb  Ealahhh salah 
219,kesini parah  biaya aplikasi 2rb biaya layanan 1rb mending aplikasi sebelah gratis biaya aplikasi  udh pakai tokped tpi mengecewakan parah ,kesini parah  biaya aplikasi 2rb biaya layanan 1rb mending aplikasi sebelah gratis biaya aplikasi  udh pakai tokped tpi mengecewakan parah 
220,update tdk instal  ,update tdk instal  
221,Bagus pengguna yg suka beli online adain gratis ongkir,Bagus pengguna yg suka beli online adain gratis ongkir
222,promo ,promo 
223,Tolong perbaiki fitur tukar hp yg pengen ditukar murah beli mahal dihargai murah nya gak ngotak bagus b3 aja,Tolong perbaiki fitur tukar hp yg pengen ditukar murah beli mahal dihargai murah nya gak ngotak bagus b3 aja
224,Keluhanya tanggepin Bot  kekurangan karyawan ya boss ,Keluhanya tanggepin Bot  kekurangan karyawan ya boss 
225,Apk buruk jualan  Penarikan dana rekeningnya Ampe 1 Minggu gk nyampe   akun gk kena penalti  ,Penarikan dana rekeningnya Ampe 1 Minggu gk nyampe   akun gk kena penalti  
226,,
227,the best pokonya mah,the best pokonya mah
228,aplikasinya update ya  storage mohon diperbaiki developer nya ,aplikasinya update ya  storage mohon diperbaiki developer nya 
229,mantap dah  besto friendto,besto friendto
230,Halo  foto ulasan dri produk download ulang aplikasi ya  mohon bantuannya  Terimakasih ,Terimakasih 
231,kere,kere
232,bagus blanja aja tinggal pesan TOKOPEDIA  serba  tpi saran sy barang yg pesan toko jngan mengecewakan tokopedia ,bagus blanja aja tinggal pesan TOKOPEDIA  serba  tpi saran sy barang yg pesan toko jngan mengecewakan tokopedia 
233,udah bagus sih mending hps aja deh ekpedisi pake kurir sicepat  Lemot  apaapan2 kemaren stuck jakarta mulu EMANG SI LEMOT,udah bagus sih mending hps aja deh ekpedisi pake kurir sicepat  Lemot  apaapan2 kemaren stuck jakarta mulu EMANG SI LEMOT
234,Transaksi batalkan otomatis mulu  udh sampe ganti hp jg aja ,Transaksi batalkan otomatis mulu  udh sampe ganti hp jg aja 
235,udpate apk gk dibuka  Updatenya pemaksaan  h h h h h,Updatenya pemaksaan  h h h h h
236,kesini bagus bagus,kesini bagus bagus
237,update transaksi gagal transfer status menunggu pembayaran upload foto,update transaksi gagal transfer status menunggu pembayaran upload foto
238,gak buka toko pedia,gak buka toko pedia
239,Tolol,Tolol
240,mudah ngasih tip driver app  sukses goto ,mudah ngasih tip driver app  sukses goto 
241,wahhhh  ga nyangka  semudah byr PBB  hitungan menit selesai  ga ribet  ga hrs antri  ga hrs rmh  ,wahhhh  ga nyangka  semudah byr PBB  hitungan menit selesai  ga ribet  ga hrs antri  ga hrs rmh  
242,bermanfaat,bermanfaat
243,dh d hu,dh d hu
244,Transaksi seller aja  Fee nya gede  transaksi rugi 60k gak solusinya ,Transaksi seller aja  Fee nya gede  transaksi rugi 60k gak solusinya 
245,mantap,mantap
246,mantap  respon,mantap  respon
247,kemudahan belanja,kemudahan belanja
248,semoga kali ga batalin penjual nya  tq,semoga kali ga batalin penjual nya  tq
249,Maksa bangat updatenya  klo ga update ga bs dipakai,Maksa bangat updatenya  klo ga update ga bs dipakai
250,Tolong developernya  lacak paket tolong sertakan nomor hp si kurirnya  Paket terdeteksi lokasi sesuai keterangan  Kalah aplikasi sebelah ,Paket terdeteksi lokasi sesuai keterangan 
251,jaga reputasi  Terima kasih ,jaga reputasi  Terima kasih 
252,transaksi Tokopedia biaya transaksinya  Ditambah voucher ongkir cashback pake bersamaan  kesini mengecewakan  Ditambah ekspedisi buruk  barang hilang  barang sampe dibilang diterima pembeli  pengiriman lambat  tambahan  jasa aplikasi  Wow kesini bener2 parah ,kesini mengecewakan 
253,aman Toko Sebelah,aman Toko Sebelah
254,Knp sih aplikasi hrs diupdate sgala  aplikasi yg hrs dihapus ,Knp sih aplikasi hrs diupdate sgala  aplikasi yg hrs dihapus 
255,cek out nambah 3000   biaya  biaya  joss ae ped ped,cek out nambah 3000   biaya  biaya  joss ae ped ped
256,CASHBACK SULIT  GAK BISS GABUNG DG GRATIS ONGKIR  Biaya TINGGAL DILUAR PULAU JAWA GRATIS ONGKIR SULIT  Pengiriman Lelet  BANGKRUT YA  CARI SOLUSI YG GK GINI KONSUMEN PUAS  parah yg diluar pulau jawa gak kemudahan ,CASHBACK SULIT  GAK BISS GABUNG DG GRATIS ONGKIR  Biaya TINGGAL DILUAR PULAU JAWA GRATIS ONGKIR SULIT  Pengiriman Lelet  BANGKRUT YA  CARI SOLUSI YG GK GINI KONSUMEN PUAS  parah yg diluar pulau jawa gak kemudahan 
257,No coment  siip belanja tokopedia ,No coment  siip belanja tokopedia 
258,Kebanyakan biaya nih tokped kritikan tp blm perubahan kasih masukan mending lazada ngga cingcong bonus freong ,Kebanyakan biaya nih tokped kritikan tp blm perubahan kasih masukan mending lazada ngga cingcong bonus freong 
259,mudah bertransaksi,mudah bertransaksi
260,Tokopedia ,Tokopedia 
261,bagus,bagus
262,senang Tokopedia  barang kesukaan lengkap Hotwheels sejenisnya  gratis ongkirnya terbatas  biaya aplikasi 2rb  biaya layanan 1rb  biaya transfer biaya paylater  wkt chekout mahal barangnya  jujur skrg msh mending Shoope  jujur aja Lazada biaya2 apapun ,gratis ongkirnya terbatas  biaya aplikasi 2rb  biaya layanan 1rb  biaya transfer biaya paylater  wkt chekout mahal barangnya  jujur skrg msh mending Shoope  jujur aja Lazada biaya2 apapun 
263,Mantap dah pokok nya,Mantap dah pokok nya
264,Bgus sihh cma trlalu bnyk biaya tambahannya  Gratis ongkirny jg gk smuanya  bnyk biaya jasa  biaya app dsb,Gratis ongkirny jg gk smuanya 
265,Udah berlangganan plus kena biaya jasa aplikasi transaksi  pengiriman ja  kaya gak untungnya berlangganan plus mahal biaya tambahan ,Udah berlangganan plus kena biaya jasa aplikasi transaksi  pengiriman ja  kaya gak untungnya berlangganan plus mahal biaya tambahan 
266,7v   f,7v   f
267,Tokopedia emang hebat,Tokopedia emang hebat
268,Biaya Penanganan Aplikasi 2rbtransaksi     ge 1rb   ,Biaya Penanganan Aplikasi 2rbtransaksi     ge 1rb   
269,good job guys,good job guys
270,I give one star because of bad service and often deletes my product,I give one star because of bad service and often deletes my product
271,Terima kasih suda membantu mebudakan berbelanja,Terima kasih suda membantu mebudakan berbelanja
272,Mumpung gratisan,Mumpung gratisan
