,content,sentiment
64,"Caters to Neo Nazis and sexists with zero shame about it, will repeatedly suspend your account for the same ""offense"" even if you've already been punished for it, will allow people to use slurs and make death threats against the LGBTQ+ community/people of color/women and push misinformation/false news BUT aggressively attacks and punishes those who stand up for themselves when harassed or when pointing out false information. Facebook is a gathering place for incels and white supremacists.",-1
65,The direct messaging feature is always glitching. The pages feature is always glitching. And the group admins have simply to much power. Still a bad app,-1
66,It creates many problems in login when I clear it's all data,-1
67,Excellent very good,1
68,I love it because it's fast,1
69,Nic app,1
70,"No complaints as yet. Quite a good app to keep, thank you!",1
71,Iam pleased to find the ways of doing businesses'search helpfully,1
72,Great app,1
73,Agar Free fire na hote to Facebook be nahi hone te,0
74,"Hello Facebook/ Meta Team,",0
75,"Incredibly abusive and infested with vicious bullying....I had endless trouble trying to remove my name from Facebook...who knows,it's probably still being used and abused ...I will never get involved with Facebook ever again....it's was a horrible experience",-1
76,CSX der a ch Factor,0
77,Need money 9 lakh rupees,0
78,Fk you're community standards,-1
79,Where is the deactivation option in the updated version...,0
80,Good app,1
81,"As a social network in the era of free speech, you still have a lot to learn!",-1
82,What he,0
83,Dumb. Can't post what you want bc of sensitive little cry babies get their feelings hurt,-1
84,"I can't get access to my account, I've followed all instructions but still no help. Been emailing support team for help, no response.",-1
85,I can't view videos,-1
86,Very good but some time freedom of speech problems,-1
87,Nice one,1
88,Good app,1
89,Thank meta. Very interesting ⭐⭐⭐,1
90,it is a good app,1
91,so much adds after every five to ten minutes adds are coming and adds are more than 30 seconds everytime,-1
92,"Woke shate app ! + Supports racism. Especially when it goes against people of white colourl. Say something lightly offensive towards ABCD Mafia, Blacks or other ethnicity group and you are going straight to the FB jail.",-1
93,I hate Facebook,-1
94,"I give one star, it was disappointed because i can't update my facebook and i can't send message through my day. Please I want to update my account. I couldn't research because I use old facebook",-1
95,cookecooke,0
96,I love the memories reminder in this app.. I can flash back memories past years..,1
97,The following,0
98,Good apps,1
99,"FB doesn't show the pin post option 🙄 why ? I'm here again after months, Fb doesn't let us delete some comments we left on others posts Why? Plz fix this. And there are also a lot of bugs",-1
100,ranksrructure,0
101,facbook marcketpalace option not show new acconut,-1
102,Na Facebook account hack please help me Facebook and phone number and email Email : Phone: Password oll do: Rajubabu THANK YOU,-1
103,Great!!!,1
104,"no more ""like"" notification on your status, picture, video and your comment... why?",-1
105,Very successful,1
106,Great app that lets me connect with family overseas and reconnect with lost friends. Easy to use and highly recommended for everyone.,1
107,It is very nice it worked very fast I am using this app,1
108,"Hii, Dear FacebookTeam, I am vinay , We have a one Problem to Two factor alliteration login code, Note Receive I am Also Try multiple timeTo receive login code But your login code feature is not working I hope FacebookTeam solve This problem",-1
109,Very nice looking bhai,1
110,"Facebook is idiot wicked they blocked my account for no reason now my new account i forgot the password fb refused to send me the otp when I go to forgotten password over 4month now but fb will allow hacker to hack people's account, my first account was hacked, someone tell fb to send otp to reset the password now",-1
111,Its nice,1
112,Nice app. but Dear.Facebook Team.my profile reels option not showing . plzz solve it’🙏,1
113,Add a 'Show All Comments' feature that allows 'Show All Comments' to be a permanent option on all posts. I don't need or want FB to automatically show 'Most Relevant' on every post. Just show all comments automatically.,1
114,I very good day Facebook app,1
115,Loving it,1
116,"The Facebook app offers a comprehensive social networking experience with a user-friendly interface. It provides seamless access to news feeds, messages, groups, and events, making it easy to stay connected and engaged with friends and interests. The app's frequent updates and improvements demonstrate the dedication of the developers in enhancing the user experience.",1
117,This is nice but no updated,0
118,In video live menu most pages are providing sexual videos .......its against your policy because it is family app ...kindly stop that live sexual video on this app,-1
119,"Fun to use and easy to use, able to connect with friends and family all around the world",1
120,It is fun and amzing 🎉,1
121,No one else is here and I can get you a new one else is here 😜 is a,0
122,Very bad,-1
123,I have been in Facebook for how many years I keep on reporting sexual adds and it keeps on displaying on my newsfeed and keep in reporting but I keep on seeing it Facebook please fix this 😡😡😡,-1
124,"Fb is pro Islamic ,supports Muslims and if you report any false info posted they would block account.",1
125,Recenly Facebook have update my facebook pages are gone 🥺 i notice not only me and because of this update there are many pages that hacked 🥲,-1
126,Good service,1
127,Keeps logging out and saying Session expired!!,-1
128,This Facebook it's so great 👍🏻,1
129,Useless application how many father's you,-1
130,Learnmore,0
131,Easy Money,1
132,"If I have want to login in two , three account but the app automatically remove my all accounts",-1
133,This is good,1
134,Very good platform,1
135,Why fb I can't not login in my account on face book,-1
136,Very nice apps,1
137,I have use Facebook a long time but I face a small problem story not showing some time I request you Facebook please solve this problem,-1
138,"No complains,just wish they can create a Facebook self build in app than can download photos and videos on your wall like whatsapp status saver.",1
139,Speach less. 100 % good,1
140,Love it for sure,1
141,"There are some errors which must be debug. The very must error which should be solved as soon as possible is that when I scroll down the videos in watch list, after 2 or 3 scroll the play button disappear and I can't able to watch that particular video.",-1
142,It's ok,0
143,Super cool,1
144,"Easy to use, plenty of information",1
145,Amazing Social media App .,1
146,Thi best app my use,1
147,Facebook send new update daily in playstore. This is the worst thing of facebook..,1
148,This is a horrible thing to use to not using it's hard,-1
149,Please follower,0
150,"This app forced itself on my phone. What gives? How can I uninstall it? Not cool, Meta Mark.",-1
151,I'm facing many time season expired problem .. I have to again and again login plss fix it,-1
152,"Impossible to change password, forgot my email but no option to recover with mobile number",-1
153,What To Expect Or Theoosaaa9W,0
154,Two steps verification unlock kar de,0
155,Facebook can you give back my account because the password is right but Facebook says it's wrong,0
156,📢 Positivity! 💥 Dot. 💯 Com! @ All Forefronts! 🏆🥇. 🙏 Amen,0
157,W5 gout2,0
158,How can a company so big produce such an bug filled app,-1
159,Most informative .,1
160,Trash something went wrong notification tell me zuck you trying to download my information before I can delete my account smoothly you already got them sent to your partners so stop clowning yourself and let me delete my acc zuck,-1
161,Very useful app,1
162,My life Facebook,0
163,I LOVE YOU FACEBOOK,1
164,Theek thak hai @cute__girl__7_7_doreman__ follow my id intagram 😅😅,0
165,Please leave me alone,-1
166,After downloading I couldn't install that's bad,-1
167,Try v rr and the sssswww,0
168,So many adds not useful anymore,-1
169,"When the short video is played, the music of the played video starts playing in the background. The same background music plays even after changing the video. and there is no option for vedio play history .",0
170,M10PAGK and I don't know if I don't have to do it is not the game of the same thing to do it is not the game not be the same thing is that it is a good great good great to do it is not the game of the same thing time as the game of the same,0
171,Normal,0
172,Mu account is blocked by facebook without any reason and warning. This is basically harassment,-1
173,Good App,1
174,"My rating keeps getting deleted for some reason. Fix the dating section distance and notifications, then it much might be worth two stars",-1
175,274 DAYS AND COUNTING STILL ERRORS PRESENT FIX IT ASAP!!!!!!!!!!!!!!! 9 MONTHS AGO A SAVED STORIE FROM ARCHIVE WAS DELETED. THEN 5 MONTHS 210 MORE SAVED STORIES WERE DELETED FROM STORIES ARCHIVE. JUST WHEN YOU FIXED THE GLITCH WITH ONE REEL. ANOTHER REEL GOSE MISSING!!!! FIX IT,-1
176,Great app,1
177,wonderful love you,1
178,The forced 2 step verification is bugged. App is useless now. Can't log in. So basically I can no longer access my data. Good job.,-1
179,My favourite app Facebook,1
180,Profile lock option,0
181,"Dhjrrr fu That is, the waist and legs",0
182,Very very good app,1
183,Good apps,1
184,Good apps,1
185,I already have Facebook but add are showing of Facebook,-1
186,Bad app but you can't ignore it,-1
187,Horrible disgraceful community standards. Approves contents of animal abuse.,-1
188,Hello Facebook Team,0
189,My experience with Facebook is I will give you a 5 out of 5 stars because I already guess the story a long time ago,1
190,You change fakebook instead facebook you ban ppl for sharing memes that were already shared on the app.,-1
191,Good and easy,1
192,Thanks Facebook for restricting my account when I just turned my data on no wonder people hang out on Twitter.,-1
193,Very useful,1
194,Can't find nearby friends option,-1
195,It's good app and new videos stories freinds it's really good 👍😊,1
196,"I really hate facebook sincerely because the home screen or most called as the log in section are always changing, plus when i look to the settings the version changes ALWAYS even i don't update it. Yea kinda annoying when i'm gonna search something it's just loading like it was for 1 hour i waited but it's still loading even my CONNECTION is HIGH then i noticed i have to update it I HATE IT this social media platform is so frustrating i don't recommend it there are many things they haven't fix",-1
197,It is nice using the app,1
198,Auto restricted my account without logic reason,-1
199,Good morning and,0
200,Good social platform .,1
201,Love the suspense,1
202,Its ok now,0
203,Good app,1
204,Dr rs was so we ex,0
205,"Happy Birthday Shamar. May all your wishes come true!!! Love always, Aunt Marie..",0
206,It's lousy..🤨,-1
207,Nonstop ads and suggested posts.,-1
208,Uuuuuuuuuuuuuuuuuu7uuu77yyyyyy hydraulic system and notify sender and delete the message from the airport on Saturday and Sunday and Monday and,0
209,"Been a month & still having issues! Since last update my own feed in groups won't load, just getting the annoying circle that goes round & round 😒",-1
210,Very nice Facebook app,1
211,My account restricted two 2 days because set it,-1
212,This app Is so useless don't recommend me this app,-1
213,"Ever since the last update, the dating app has been broken, completely unusable. You van get matches... but thats it. The second you get a match and they message you or you message them, the match dissappears. You still get updates on there profiles updates. You get the notification of the messages but can never see them. You even get the inbox notification that tells you exactly how many unopened messages you have. I've deleted the app, Cleared cache, and all data, and still nothing. No reason",-1
214,This is a very good app,1
215,The bc CV,0
216,Best Facebook,1
217,Now unusable on my mobile phone. My news feed gets clogged with suggested items.,-1
218,borrow,0
219,Wow very enjoyable app and i think India's no 1 app for public enjoy,1
220,It's ok,0
221,Been hacked three times in the past year. Had to create new profile each time and lost all my photos,-1
222,"Please don't use Facebook app, so many religious and political factors...",-1
223,"I recently updated this app, and now i don't have access to my account because my password is incorrect already😮‍💨",-1
224,Facebook dating is broken! Cannot send or receive message. Facebook sucks!,-1
225,Too much adds cant see friends updates,-1
226,I Love Facebook I heart My Mark zagarbark,1
227,Stationary,0
228,"I missed the old times when Facebook was a family-oriented platform. Nowadays, some people are already posting disgusting and nasty posts, even to the point of destroying the minds of the young people, through the malicious trends in online. Facebook should disable all the malicious posts that can pollute the minds of children, and might lead them to pornography if that's the case. That's why I started to delete this app, I may install it for some important purposes only. Hope you understand!",-1
229,This app is boring i,-1
230,Your damn ad jambs my phone so why would I think you are capable of developing a working app,-1
231,It keeps on crashing after opening it doesn't even take 5 sec to crash,-1
232,I got banned for no reason at all except I was sharing memes but they weren't even offensive why did I GET BANNED,-1
233,Bad experience I am opened Facebook after 1 year he shows me your account is permanently disabled,-1
234,This is good for video,1
235,Very nice aap and it's trending on the way thanks 👍😀😊👍😊👍😊😊👍😀😊😊👍😊😊😊😊👍😊😊👍😊😊 9,1
236,It's su crazy,-1
237,The service was not good.,-1
238,Is a good app,1
239,"It has been awful. I attempted to get into FB on my new a droid phoneva few months ago and was unable to do so. So I tried to do it and ended up with sharing FB with Jerri West's Facebook account. We have been like conjoined twins for months now. Once in a while I am on my own page and she may be on hers, but of late I have just become a friend request. Should I just uninstall and start all over? I have already got friends of mine and hèrs completely mixed up. Am so confused that am ready to giv",-1
240,Sure there's some stuff I don't like about it (some ppl are rude) but overall it's amazing!,1
241,Great,1
242,"Too much restricted, fast hand adding friends restricted, i thought only nudity is stricted even words so becareful,",-1
243,I enjoy the app. That's a good one to keep up with friends and family 😀,1
244,I uninstalled this app! There is more bad than good. Difficult to control content. Not too happy with content standards. Facebook is a place for predators of all sorts. Minors should not have access to this.,-1
245,Facebook filter is not working on samsung galaxy A22,-1
246,Yes i spend my time this game to earn money because the advertice is nice thats why im play this game and upload this apps bingo club lucky win and my mission is finish to withdraw my cash out thats all i hope you understand thank you i give 5star...,1
247,It takes most of mobile data,0
248,"Yoo. What the heck? I just made an account on Facebook and I'm already suspended. What did I even do?! I didn't even get the chance to add anyvody yet. Facebook atp y'all dtm. What is wrong with y'all now, first it's those other apps now you guys?? Get this fixed. Please ? 😀👌I can't even log into my own account. Facebook! What's wrong with y'all?! It's getting irritating 😭 y'all need to fix y'all's stuff. This stuff getting lame.",-1
249,there are glitch and bugs,-1
250,"Eta: currently locked out for 'facebook protect' but hangs on two step verification. *** Was great until update today now nothing loads. Eta: added app on my new device, now pictures don't load after one scroll, hangs on loading, nothing changes on my newsfeed, people I unfollowed and unfriended are back on my list... Fix it already! Eta 2/2/2021: App is broken yet again. Why does it never get fixed?",-1
251,Good entertaining app. I never compare this app with other apps because I love this app and there is also a market place where we can buy and sell things. Good job working more hard to make this app more popular.,1
252,Really good,1
253,have a very nice app,1
254,Good App,1
255,this version of facebook is very good,1
256,Good service,1
257,Very nice 🙂👍👍🙂 app,1
258,I do not want Facebook lite I want my Facebook account given back to me service for my Facebook account,-1
259,always hard to log in,-1
260,We can't pinch zoom now,-1
261,Very bad,-1
262,It very nice experience,1
263,why not available captions in my account,0
264,my account doesn't have a featured photos,0
265,New,0
266,Facebook is a good app but his update are not good when update are completed phone hanging please solution this problem and thanks isme data sever on karne ke baad bhi net ki ye bhutni nikal deta h,-1
267,Facebook is forcing me to download in phone every single time while using my phone that time notification is coming. Please do something Stop download notification.,-1
268,Best social platform by far. From an old schooler. Tracey P Smith Enjoy!!!,1
269,Because your damn apps don't wirk right these damn phones don't operate right and your partners in rime still keep taking the data that I pay for and you push me in to subscrbing all the time costing more money,-1
270,Every since I updated a week ago don't get no notifications or see my likes on my post. It's truly aggravating.,-1
271,Facebook is a great app if you want to get your word out to people  ,1
272,Slow out here in the country,0
273,What's wrong with the FB Dating portion??? Since the last update I haven't been able to send or receive messages through the fb Dating portion and an error keeps occurring every time I send a message now. Help me fix this!!!,-1
274,School,0
275,the video lag,-1
276,Straight garbage 🗑,-1
277,"I hope there's a way to delete old accounts. I forgot the passwords and have no access anymore with the email and numbers associated with it. The accounts were inactive for more than 5 years, I tried to report them, but still no use.",0
278,Very important persson,1
279,Good apps,1
280,I just downloaded this app and it starts showing inappropriate content,-1
281,O input loop ➰,0
282,Don't send me ads/advertisement of this app anymore😡 Now I'm irritated from this🤬,-1
283,Grow my account,0
284,My facebook ID is hacked. Please help Meta. I am facing much difficulty.,-1
285,All the time controlled by meta security,-1
286,That app is good before update but now app in glichty and frustrating bad app now and my not open after upfate,-1
287,I have been having Facebook for 20 years.,0
288,New Update Facebook Can,0
289,Good this app,1
290,This is a platform for learning,1
291,A PRISON FOR THE MIND,-1
292,Settings Security and login,0
293,Cool app,1
294,It was really good and very convenient in reaching out all friends a d family out of the countries,1
295,"This use to be my mom's phone and I don't see how she was so addicted to this. I don't use this app at all but I wanna say that this doesn't seem like a system app. It doesn't fit in, you know? Just sayin', and sorry if you can't fix that. Also I'm just giving it 1 star to blend in with the others LOL",0
296,Greatest app ever👍🏿👍🏿👍🏿👍🏿,1
297,The most amazing app,1
298,Takes so much time to update post and still Nothing is done what is asked. So frustrating.,-1
299,The last few updates gotten worse and worse.nothing is ever fixed,-1
300,Very much good,1
301,"App is full of bugs, as usual.",-1
302,"Shite n keeps getting worse, way to many sponsored ads, friends not deleting or adding, people you might know is an absolute pain in the arse fs n the suggested fa you profiles or pages is never ending, it needs ta go back ta the beginning n this time keep things simple fs !!!",-1
303,Facebook keeps telling that I'm not logged in and logs me out saying session expired I have the most up-to-date update and it keeps happening no matter what.,-1
304,"useless POS, can't uninstall it's forcibly held, disabling it only causes the phone to have issues beyond comprehension.. 110% waste of time",-1
305,Fb employees use their official position by blocking / persecuting network users on ethnic grounds.,-1
306,We want new updates on Facebook We want to see who is viewing our stories outside of the friends list,1
307,Too slow,-1
308,Facebook is full with useless videos such as sex.please improve this and take action those who Violet and upload that types of videos.facebook should Automatically block those peoples.,-1
309,Pron on fb it is not correct.,-1
310,Constantly show the session is expired and I have to login again and again,-1
311,"Dark mode is non-existant for Samsung s8 tablet. I've read all the blogs and utube videos. Nothing works. Don't like the white screen, I have issues with glare and bright light colors and it causes a headache. Works on phone, just not tablet. Please assist.",-1
312,This version of app is good for this time.,1
313,Very good thank you♥️♥️♥️,1
314,Excellent app of social media platform.,1
315,"Facebook if the competitor of Onlyfans!!! Despite giving people the option to report posts, I have done so on numerous accounts about, nudity, physical violence, hand guns, violence and yet all I receive is ""This report doesn't go against our guidelines"". And the fact that people still support this site and let their children on here shows how much society has fallen people have become animals.",-1
316,Good lol l happy birthday to destiny and Jessica bunch,1
317,"Well now didn't know Facebook was part of android os, but must be because I can't uninstall it or messenger.... Just want to update that I don't care for reels and you can stop trying to influence me with pointless stupid pages I would never visit and I want access to all my personal data you have. I'm sick of this platform trying to push people to what they feel is right",-1
318,I think what in very soon Facebook will aloud to post porn on it.,-1
319,Allows to many people to become hacked by scammers. When reported about these fake accounts. It is allowed to continue . The ability to provide information on the matter is little to none. The Facebook messaging app is just as flawed.,-1
320,"Why is Facebook kept logging me out always , saying my login session has expired, that I should login again..",-1
321,It was terrible Facebook would not find my friends or family I hate Facebook,-1
322,Worst social media award app goes to FACEBOOK,-1
323,Cant use gifs or stickers. Why does it seem to be getting worse?,-1
324,WHATEVER YOU DO DON'T USE META PAY. MY ACCOUNT THAT I HAVE FOR OVER TEN YEARS GOT HACKED AND THE EMAIL WAS CHANGED AND FACEBOOK IS GIVING THE HACKER'S MORE SUPPORT AND THE RECOVERY LINK DOESN'T WORK AND FACEBOOK WANTS ME TO UPLOAD MY ID.,-1
325,I can't open my app,-1
326,Great!,1
327,Clear,0
328,Awesome app,1
329,It was fun but I have yet to receive funds,0
330,"It's not fun like it was 13 yrs ago .... Now it's Helping the greedy elite pave the way to communism one post at a time. Propaganda pushing, truth censored bs. If you only talk to friends and don't fall Into the trap of this app. You will be fine. Snapchat is better to me though....",-1
331,generally good service. what happened to the ability to see alerts from friends apart from the general input?,0
332,It's been saying can't install for a month now.,-1
333,"For advertising, who tf doesn't know about facebook?! Even if you dont, a 30 second commercial is a waste of your money, and our time",0
334,So sweet lovely application Facebook my love,1
335,"Very toxic app these days, anyone can pay to put their stupid messages across. Way too many ads, videos lag heavily (not my internet connection), auto play keeps switching back on randomly. Videos no longer show comments! The app is not maintained, many issues, users get told off for pointing out bad behaviour like graffiti. Facebook supports the wrong people.",-1
336,The best program,1
337,"I like using Facebook but sometimes when I update it , I need to uninstall and install it again coz I can't open it ..hoping you'll fix it...",-1
338,"Thanks for making it annoying to use the app. Would normally use it to see informative posts people shared but the constant refresh on comments section is annoying. Why does it has to refresh itself and take me back to top post? Never asked for it, never signed up for me",-1
339,I really like this app 😍,1
340,"Looking at comments constantly refresh, never used to be like this. Other apps can load comments without constantly refreshing. Videos autoplay after checking the comments after you already paused it. Why do videos from Instagram play on FB if you can't check the comments?",-1
341,But my facebook have no features,0
342,I love it because that's how I stay in contact with friends and family,1
343,Cutting any video wathing,0
344,Facebook is committed to wasting their time of their users with UI that does not properly work and a broken content filtering system. It is overwhelmingly clear that Facebook does not care about their user they just care about their pockets with the amount of ads served within this app.,-1
345,Frustrating!!! I have completely lost FB on my laptop. All I get is an Meta error message and the help button does not work at all. When I try to sign in ... nope ... nothing. I have uninstalled the app and when I try to install it ... nope ... grrrr!! Pretty close to giving up. Here's some advice Meta ... if something is not broken do not fix it!!!!! Seriously!!!!,-1
346,"Just started using FB properly and so far the experience is terrible. The design is outdated and I can't even find the inbox do view my messages. Facebook still requires an external app (messenger) but I can't even see the messages I've sent on that either. I'm trying to make a purchase when I ask the seller ""is this still available?"" And go back into the message it is no longer there! I'm not happy about this and would like someone to respond to me or fix this issue.",-1
347,But my I'd is not recover Facebook team ok help please,1
348,"Hi sir, add youtube style restriction mode to filter porn videos in facebook app",1
349,Fast link which helps to find friends and love once easy,1
350,"My phone was Meta raped by Facebook. I am not a victim, I am a survivor.",-1
351,I am not happy Facebook my id not match two facter code plz help me and provide fb log in code,-1
352,It is useless app. It has been a month I am reporting to facebook team to solve my comment and post issues but they lack ethics and profession. Even they are not replying me. They have blocked my comment and story posting section. Really west is spot on name of Democracy,-1
353,I'm not receiving notification from my facebook,-1
354,"Comment sections have become impossible to read now they're autoupdated, whatever you try to read is just flying about all over the place",-1
355,This app is the best among all chatting apps,1
356,Cool,1
357,All I uses it for now is market place and even it sucks!! showing me stuff half way across the country when I have my search set to 30/40miles,-1
358,can't get in my account,-1
359,What happened with the update? Too much bug😅,-1
360,My giz uses my profile.. I'm pleased. ..,1
361,It is a time pass app,0
362,"Always disconnection all my Facebook accounts...2 of may account was disappear ..what happen Facebook...may 2 accounts like reinier alverne,reinier botanes was closed...",-1
363,Poor too many advertisment displayed,-1
364,Very good and easy going,1
365,"For the last few weeks, I haven't received any notifications. I have no way of knowing if someone reacted to or commented on any of my posts unless I search for the post and check. Another recent change is auto-refresh of comments whenever comments are being read. This makes it virtually impossible to read any comments on popular posts which receive frequent comments. It's also tedious to have to select ""all comments"" instead of ""most relevant"". ""All comments"" should be the default.",-1
366,"It been out of session on its own pretty fast like i just log in, then it out of session",-1
367,My fabook is loading,0
368,Alot of ads Oh my god,-1
369,It's all about the lord JESUS now and forever in JESUS NAME AMEN 🙌🙌🙌🙏🙏🙏,1
370,Unable to open,-1
371,"Dear YouTube channel for your reply and for the first time in total of the year and I like to see if the weather was not able to get to know about it, and the other side of things to be a bit of an issue, I like 2nd, and a half hours ago save job and I like you dear Tapan babu, I like you dear Tapan babu, I am sexy man, I like you dear Tapan babu, I like you dear, but it would me dear Ms office in or join the day my own business and the rest of the",0
372,IM ONLY 9 AND I KEEP GETTING IN TRUBLE FOR HAVING IT😭😭😭😭😭😭I CANT EVEN GET RID OF IT WHY????,-1
373,Do not recieve comment notifications,-1
374,Won't update,-1
375,Good application 👍,1
376,"Facebook is a good aap I used a facebook in ,6 year",1
377,this is getting worse. too many adverts. irrelevant spam adverts. you report them and then an identical advert appears. seeing days old posts. I think Facebook is going to start loosing people as it's getting worse not better.,-1
378,I love this app,1
379,It very good,1
380,great app!,1
381,Please sir enable group party option 🙏🙏🙏🙏🙏🙏,1
382,Bring me back dragon,0
383,How are you doing today I hope you are doing well and that you are not understanding the hi I was interested in the wall and a five-person my phone and I don't I have to be there at one point I live in North Carolina and Florida is a person really really good and you have a great week at a time and see if they can to watch you so very good for you to come over for a person and I don't have any other questions please let me know if you want a person I hung up and you can well as the other side of,0
384,please add screen shair (cast screen) option in WhatsApp as it is messenger,1
385,Does not protect you or warn of hacks,-1
386,"Facebook is a very useless platform. You forced me to set up two factor authentication on my account which I never wanted to, in order to run Ad. I lost access to the phone with the two factor authentication, in order to be able to login again, you requested for documents which I submitted and you keep rejecting. I can't access my account cause of this, all forms of communication to talk to a customer support has proven futile as no reply is coming, and I got to find out so many people you force",-1
387,Awesome app That's all I have to say,1
388,It's great it's helpful,1
389,Poor my account has been disable.,-1
390,I like this app...,1
391,Can't trust Facebook Marketplace anymore. So many scammers. Facebook is to lazy to fix this.,-1
392,Areas was way 3a,0
393,"Total trash! Always has been, always will be. Zuckerberg needs to be dethroned & the app dismantled",-1
394,The updates are so bad and now I can uninstall it this is so stupid and strange 🤬🤬🤬,-1
395,They mine and steal your data. Why would anyone be okay with that?,-1
396,"Always show adds of irrelevant topics. I am fed-up with this. Also nudity apps advertisements also comes up randomly. I am really thinking seriously to delete this ""Fakebook"" headache.",-1
397,My facebook dating account got deletted without any warning. Facebook asked me to create my account again and del all of my previous conversations. Now I have no way to reconnect with my match,-1
398,Fake profiles trying to get deposit for good they don't have,-1
399,Mage jivithe,0
400,good app,1
401,Excellent aap 👌 Honestly speaking great app..excellent features 👏,1
402,"Phone started to heat up while on Facebook for some reason, especially in the comments section. What's up with that? Never did that on any other app.",0
403,This is great app but this is my opinyon can you put on a lens?,1
404,"Facebook does not clear postings when you want them to. If someone is tagged, there is no way to get rid of the post.8",-1
405,It is best,1
406,It is cool,1
407,facebook marketing Platforam is good added for worldwide,1
408,"Nowadays Facebook is showing too much nudity contents, Facebook should aware about this problem, because there are many high school students who are using the Facebook. Kindly concern about this, My request to Facebook team.",-1
409,World news software,0
410,The worst app ever,-1
411,"sure looks like a catch, it's going to be a good one; I sure can't wait!!!",1
412,Facebook Support terrorists,-1
413,"My fb account is locked since 24 may, not able to recover it, did all the steps but confirm your adentity feature having some errorm can any one can help me to recover my profile.",-1
414,Mera account log in Nahi ho Raha hai please help me,-1
415,Worst app.. too many glitches .. full of advertisements.. useless app,-1
416,Trash,-1
417,"Very bad experience, bad bugs ,",-1
418,I can't log in to Facebook since 2 days . The only error is you can't access this website not even on chrome please fix it soon .,-1
419,WhY market place is not available at my Facebook?,-1
420,WHY WOULD YOU ADD A CARE REACT BUTTON IN STORIES BUT NOT ADD A CARE REACT BUTTON IN MESSENGER AND INSTEAD REPLACE THE CARE WITH A LIKE HUUUHUHUHUHUHU,-1
421,Pretty good app if you ignore the news.,1
422,My id is hack,-1
